question,answer_detail,answer
"A 69-year-old man is brought to the emergency department because of a 1-week history of recurring black stools. On questioning, he reports fatigue and loss of appetite over the last 3 months. Twenty years ago, he underwent a partial gastrectomy for peptic ulcer disease. The patient's father died of metastatic colon cancer at the age of 57 years. He is 163 cm (5 ft 4 in) tall and weighs 55 kg (121 lb); BMI is 20.8 kg/m2. He appears chronically ill. His temperature is 36.5°C (97.7°F), pulse is 105/min, and blood pressure is 115/70 mm Hg. The conjunctiva appear pale. Cardiopulmonary examination shows no abnormalities. The abdomen is soft and nontender. There is a well-healed scar on the upper abdomen. His hemoglobin concentration is 10.5 g/dL and his mean corpuscular volume is 101 μm3. An upper endoscopy shows a large nodular mass on the anterior wall of the lesser curvature of the gastric stump. Biopsy samples are obtained, showing polypoid, glandular formation of irregular-shaped and fused gastric cells with intraluminal mucus, demonstrating an infiltrative growth. Which of the following is the most appropriate next step in the management of this patient?",Abdominopelvic CT scan,D
"A 55-year-old man comes to the physician for a follow-up examination. During the past month, he has had mild itching. He has alcoholic cirrhosis, hypertension, and gastroesophageal reflux disease. He used to drink a pint of vodka and multiple beers daily but quit 4 months ago. Current medications include ramipril, esomeprazole, and vitamin B supplements. He appears thin. His temperature is 36.8°C (98.2°F), pulse is 68/min, and blood pressure is 115/72 mm Hg. Examination shows reddening of the palms bilaterally and several telangiectasias over the chest, abdomen, and back. There is symmetrical enlargement of the breast tissue bilaterally. His testes are small and firm on palpation. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 10.1 g/dL
Leukocyte count 4300/mm3
Platelet count 89,000/mm3
Prothrombin time 11 sec (INR = 1)
Serum
Albumin 3 g/dL
Bilirubin
Total 2.0 mg/dL
Direct 0.2 mg/dL
Alkaline phosphatase 43 U/L
AST 55 U/L
ALT 40 U/L
α-Fetoprotein 8 ng/mL (N < 10)
Anti-HAV IgG antibody positive
Anti-HBs antibody negative
Abdominal ultrasonography shows a nodular liver surface with atrophy of the right lobe of the liver. An upper endoscopy shows no abnormalities. Which of the following is the most appropriate next step in management?""",Repeat abdominal ultrasound in 6 months,E
"A 70-year-old man is brought to the emergency department for the evaluation of worsening upper abdominal pain that he first noticed this morning after waking up. The pain is of tearing and burning quality and radiates to his back. Yesterday, he underwent an upper endoscopy and was diagnosed with gastritis and a large hiatal hernia. He has hypertension, hypercholesteremia, and a left bundle branch block that was diagnosed 5 years ago. The patient's mother died of myocardial infarction at the age of 70 years, and his father died of aortic dissection at the age of 65 years. The patient smoked one pack of cigarettes daily for the past 40 years, but quit 10 years ago. He drinks three beers daily. Current medications include hydrochlorothiazide, amlodipine, atorvastatin, and pantoprazole. The patient appears to be in mild distress. His temperature is 37.8°C (100.4°F), pulse is 103/min, and blood pressure is 135/89 mm Hg in the left arm and 132/90 mm Hg in the right arm. Cardiopulmonary examination shows crackling with every heartbeat. Abdominal examination shows tenderness to palpation in the epigastric region; bowel sounds are normal. Laboratory studies show:
Hemoglobin 16.0 g/dL
Leukocyte count 11,000/mm3
Na+ 140 mEq/L
K+ 4.2 mEq/L
Cl- 101 mEq/L
HCO3- 25 mEq/L
Creatinine 1.3 mg/dL
Alanine aminotransferase 21 U/L
Aspartate aminotransferase 43 U/L
Lipase 40 U/L (N = 14–280)
Troponin I 0.025 ng/mL (N < 0.1)
Chest x-ray shows a large hiatal hernia and mediastinal lucency. A 12-lead EKG shows sinus tachycardia and a left bundle branch block. Which of the following is the most appropriate next step in diagnosis?""",Contrast esophagography with gastrografin,E
A 56-year-old man comes to the physician because of intermittent retrosternal chest pain. Physical examination shows no abnormalities. Endoscopy shows salmon pink mucosa extending 5 cm proximal to the gastroesophageal junction. Biopsy specimens from the distal esophagus show nonciliated columnar epithelium with numerous goblet cells. Which of the following is the most likely cause of this patient's condition?,Esophageal exposure to gastric acid,B
"A 57-year-old man comes to the physician because of progressively worsening epigastric pain and 6.8-kg (15-lb) weight loss for the past 2 months. Two weeks ago, he noticed painful, red blotches on the medial aspect of his right calf. He has smoked one pack of cigarettes daily for the last 35 years. He appears thin. Physical examination shows tender erythematous nodules on the right ankle and left antecubital fossa. Endoscopy shows a large mass in the antrum of the stomach. A biopsy specimen of the gastric mass shows disorganized mucin-secreting cells with surrounding fibrosis. These cells most likely originated from which of the following structures?",Exocrine ducts in the body of the pancreas,C
A 57-year-old woman comes to the physician because of a 2-week history of worsening epigastric pain that improves with meals. She has had similar pain of lesser intensity for the past 4 years. Physical examination shows no abnormalities. Upper endoscopy shows a 0.5-cm mucosal breach in the anterior duodenal bulb that extends into the submucosa. A biopsy specimen of the lesion shows hypertrophy of the Brunner glands. This patient is at the greatest risk for which of the following complications?,Perforation,A
"A 33-year-old man comes to the physician because of a 2-month history of burning epigastric pain, dry cough, and occasional regurgitation. The pain is aggravated by eating and lying down. Physical examination shows a soft, non-tender abdomen. Upper endoscopy shows hyperemia in the distal third of the esophagus. Which of the following drugs is most likely to directly inhibit the common pathway of gastric acid secretion?",Lansoprazole,D
"A 38-year-old man comes to the physician because of an 8-month history of upper abdominal pain. During this period, he has also had nausea, heartburn, and multiple episodes of diarrhea with no blood or mucus. He has smoked one pack of cigarettes daily for the past 18 years. He does not use alcohol or illicit drugs. Current medications include an antacid. The abdomen is soft and there is tenderness to palpation in the epigastric and umbilical areas. Upper endoscopy shows several ulcers in the duodenum and the upper jejunum as well as thick gastric folds. Gastric pH is < 2. Biopsies from the ulcers show no organisms. Which of the following tests is most likely to confirm the diagnosis?",Fasting serum gastrin level,B
"A 57-year-old man comes to the physician because of a 3-month history of fatigue, difficulty swallowing, and weight loss. He has smoked 1 pack of cigarettes daily for 30 years. He is 173 cm (5 ft 8 in) tall, and weighs 54 kg (120 lb); BMI is 18 kg/m2. Upper gastrointestinal endoscopy shows an exophytic tumor at the gastroesophageal junction. The patient is diagnosed with advanced esophageal adenocarcinoma. Palliative treatment is begun. Two months later, he complains of difficulty sleeping. His husband says that the patient does not get out of bed most days and has lost interest in seeing his friends. Mental status examination shows a blunted affect, slowed speech, and poor concentration. This patient is at increased risk of developing which of the following findings on polysomnography?",Decreased REM sleep latency,F
A 45-year-old woman comes to the physician because of a 5-month history of recurrent retrosternal chest pain that often wakes her up at night. Physical examination shows no abnormalities. Upper endoscopy shows hyperemia in the distal third of the esophagus. A biopsy specimen from this area shows non-keratinized stratified squamous epithelium with hyperplasia of the basal cell layer and neutrophilic inflammatory infiltrates. Which of the following is the most likely underlying cause of this patient's findings?,Proximal migration of the gastroesophageal junction,D
"A 62-year-old man comes to the physician for hematemesis and progressive heartburn over the past 5 days. Ten days ago, he was started on a medication to treat a condition that causes hearing difficulties and pain of the lower legs. He has no other history of serious illness. He has smoked 1 pack of cigarettes daily for the past 20 years. Physical examination shows bowing of the tibias. Upper endoscopy shows inflammation of the mucosa and a 1-cm punched-out ulcer in the distal esophagus. Which of the following drugs is the most likely cause of the patient's current condition?",Risedronate,C
"An otherwise healthy 56-year-old man comes to the physician for a 2-year history of recurrent upper abdominal pain and fullness that worsens after meals. Urea breath test is positive. An endoscopy shows diffuse mucosal atrophy and patchy erythema, but no ulcer. A biopsy from which of the following areas is most likely to yield an accurate diagnosis?",Gastric antrum,C
"A 50-year-old man comes to the physician because of an 8-month history of intermittent watery diarrhea and abdominal pain. He has had a 12-kg (26-lb) weight loss during this period. He has also had episodic pain of the ankle, wrist, and knee joints during the past 5 years. An endoscopy with small bowel biopsy is performed. Histopathologic examination of a tissue specimen shows foamy macrophages in the lamina propria with periodic acid-Schiff (PAS)-positive inclusions. Further evaluation is most likely to show which of the following?","Intracellular, gram-positive bacilli",E
A 46-year-old man with HIV infection comes to the physician because of a 1-week history of severe retrosternal pain while swallowing. He has not been compliant with his antiretroviral drug regimen. His CD4+ T-lymphocyte count is 98/mm3 (N ≥ 500). Endoscopy shows white plaques in the esophagus. The most appropriate immediate treatment is a drug that inhibits which of the following enzymes?,Cytochrome p450 enzymes,D
A 56-year-old woman comes to the physician because of a 2-year-history of intermittent upper abdominal pain that occurs a few hours after meals and occasionally wakes her up in the middle of the night. She reports that the pain is relieved with food intake. Physical examination shows no abnormalities. Endoscopy shows a 0.5 x 0.5 cm ulcer on the posterior wall of the duodenal bulb. A biopsy specimen obtained from the edge of the ulcer shows hyperplasia of submucosal glandular structures. Hyperplasia of these cells most likely results in an increase of which of the following?,Bicarbonate secretion,G
"An otherwise healthy 50-year-old man comes to the physician because of a 6-month history of increasingly frequent episodes of upper abdominal pain, nausea, vomiting, and diarrhea. He has had a 3.2-kg (7-lb) weight loss during this time. Physical examination shows bilateral pitting pedal edema. An endoscopy shows prominent rugae in the gastric fundus. Biopsy shows parietal cell atrophy. Which of the following is the most likely underlying cause?",Proliferation of gastric mucus-producing cells,B
"A 37-year-old man with Crohn disease is admitted to the hospital because of acute small bowel obstruction. Endoscopy shows a stricture in the terminal ileum. The ileum is surgically resected after endoscopic balloon dilatation fails to relieve the obstruction. Three years later, he returns for a follow-up examination. He takes no medications. This patient is most likely to have which of the following physical exam findings?",Weakness and ataxia,A
A 68-year-old man comes to the physician because of a 4-month history of bad breath and progressive difficulty swallowing solid food. Physical examination shows no abnormalities. An upper endoscopy is performed and a photomicrograph of a biopsy specimen obtained from the mid-esophagus is shown. Which of the following best explains the findings in this patient?,Neoplastic proliferation of squamous epithelium,D
"A 38-year-old woman comes to the physician because of a 3-month history of moderate abdominal pain that is unresponsive to medication. She has a history of two spontaneous abortions at 11 and 12 weeks' gestation. Ultrasound examination of the abdomen shows normal liver parenchyma, a dilated portal vein, and splenic enlargement. Upper endoscopy shows dilated submucosal veins in the lower esophagus. Further evaluation of this patient is most likely to show which of the following findings?",Thrombocytopenia,F
"A 30-year-old man comes to the physician because of an episode of bloody vomiting this morning and a 1-week history of burning upper abdominal pain. Two weeks ago, he sustained a head injury and was in a coma for 3 days. An endoscopy shows multiple, shallow hemorrhagic lesions predominantly in the gastric fundus and greater curvature. Biopsies show patchy loss of epithelium and an acute inflammatory infiltrate in the lamina propria that does not extend beyond the muscularis mucosa. Which of the following is the most likely diagnosis?",Erosive gastritis,F
"A 34-year-old man comes to the physician because of foul-smelling diarrhea, fatigue, and bloating for 6 months. During this time, he has had a 5-kg (11-lb) weight loss without a change in diet. He has type 1 diabetes mellitus that is well-controlled with insulin. Examination shows conjunctival pallor and inflammation of the corners of the mouth. The abdomen is soft, and there is diffuse tenderness to palpation with no guarding or rebound. His hemoglobin concentration is 10.4 g/dL. The patient undergoes upper endoscopy. A photomicrograph of tissue from an intestinal biopsy is shown. Which of the following is most likely to improve this patient's symptoms?",Avoidance of certain types of cereal grains,C
"A 55-year-old man comes to the physician because of a 2-month history of headaches, facial numbness, recurrent epistaxis, and a 5-kg (11-lb) weight loss. He recently immigrated from Hong Kong. Examination shows right-sided cervical lymphadenopathy. Endoscopy shows an exophytic nasopharyngeal mass. Histologic examination of a biopsy specimen of the mass shows sheets of undifferentiated cells with nuclear pleomorphism and abundant mitotic figures. The patient most likely acquired the causal pathogen of his nasopharyngeal mass via which of the following routes of transmission?",Transfer of saliva,C
A 55-year-old man comes to the physician because of a 3-week history of intermittent burning epigastric pain. His pain improves with antacid use and eating but returns approximately 2 hours following meals. He has a history of chronic osteoarthritis and takes ibuprofen daily. Upper endoscopy shows a deep ulcer located on the posterior wall of the duodenal bulb. This ulcer is most likely to erode into which of the following structures?,Gastroduodenal artery,E
"A 55-year-old woman comes to the physician because of a 2-week history of painful swelling on the right side of her face. The pain worsens when she eats. Examination of the face shows a right-sided, firm swelling that is tender to palpation. Oral examination shows no abnormalities. Ultrasonography shows a stone located in a duct that runs anterior to the masseter muscle and passes through the buccinator muscle. Sialoendoscopy is performed to remove the stone. At which of the following sites is the endoscope most likely to be inserted during the procedure?",Lateral to the second upper molar tooth,D
A 69-year-old man comes to the physician because of progressive difficulty swallowing and a 5-kg (11-lb) weight loss over the past 3 months. He first had trouble swallowing solid foods and then also developed difficulty swallowing liquids over the past week. Endoscopy shows a large mass 3 cm proximal to the esophagogastric junction. Biopsy of the mass shows significant distortion of glandular architecture. Which of the following is the strongest predisposing factor for this patient's condition?,Visceral obesity,D
"A 75-year-old man comes to the physician because of a 3-month history of upper abdominal pain, nausea, and sensation of early satiety. He has also had a 9.4-kg (20.7-lb) weight loss over the past 4 months. He has osteoarthritis. He drinks two beers every night with dinner. His only medication is ibuprofen. Esophagogastroduodenoscopy shows an ulcerated mass in the lesser curvature of the stomach. A biopsy specimen obtained during endoscopy shows irregular-shaped tubules with intraluminal mucus and debris. Which of the following is the most likely predisposing factor for this patient's condition?",Dietary nitrates,E
"A 28-year-old woman with HIV comes to the physician because of an 8-day history of severe pain while swallowing. She has been hospitalized several times with opportunistic infections and has poor adherence to her antiretroviral drug regimen. Endoscopy shows extensive, white, plaque-like lesions in the proximal esophagus. Culture of a biopsy specimen grows Candida albicans. Treatment with intravenous anidulafungin is initiated. Which of the following is the primary mechanism of action of this drug?",Decreased glucan synthesis,E
"A 21-year-old female presents to her obstetrician because she has stopped getting her period, after being irregular for the last 3 months. Upon further questioning, the patient reveals that she has had a 17 lb. unintended weight loss, endorses chronic diarrhea, abdominal pain, and constipation that waxes and wanes. Family history is notable only for an older brother with Type 1 Diabetes. She is healthy, and is eager to gain back some weight. Her OBGYN refers her to a gastroenterologist, but first sends serology laboratory studies for IgA anti-tissue transglutaminase antibodies (IgA-tTG). These results come back positive at > 10x the upper limit of normal. Which of the following is the gastroenterologist likely to find on endoscopy and duodenal biopsy?",Villous atrophy with crypt lengthening and intraepithelial lymphocytes,E
"A 35-year-old woman returns to her primary care physician for follow up after treatment for a peptic ulcer. She was diagnosed with a duodenal ulcer and gastritis; endoscopy and biopsy with Warthin Starry staining at the time of diagnosis showed the following (Figure A). She has completed a course with amoxicillin, clindamycin, and omeprazole. The patient reports resolution of symptoms. What is the next best step in management for this patient?",Perform a urease breath test,D
"A 38-year-old man presents to his gastroenterologist after being referred by his primary care physician (PCP). He has had intractable epigastric pain for the last 3 months following meals. His PCP prescribed him a course of ranitidine. After his symptoms did not resolve he was prescribed omeprazole. However, his symptoms persisted and he was referred to gastroenterology. The man undergoes an endoscopy, which finds a gastric ulcer (Figure A). Biopsy with silver staining is shown in Figure B. Which of the following is the most effective regimen for the treatment of this condition?","Omeprazole, metronidazole, tetracycline, bismuth",A
"A 75-year-old male presents with a 1-month history of severe abdominal and epigastric pain. He states that his pain improves with meals but worsens approximately one hour after eating. He has a history of osteoarthritis, which he treats with NSAIDs; he has increased his dose for the past 3 months due to increased pain. Vital signs are stable and within normal limits. Endoscopy is performed, and the results are shown in Figure A. What is the most common complication of this patient's condition?",Hemorrhage,B
"A 25-year-old woman presents to her primary care physician complaining of several months of diarrhea. She has also had crampy abdominal pain. She has tried modifying her diet without improvement. She has many watery, non-bloody bowel movements per day. She also reports feeling fatigued. The patient has not recently traveled outside of the country. She has lost 10 pounds since her visit last year, and her BMI is now 20. On exam, she has skin tags and an anal fissure. Which of the following would most likely be seen on endoscopy and biopsy?",Focal ulcerations with granuloma,D
"A 63-year-old male presents to the emergency department complaining of worsening nausea. He reports that the nausea began several months ago and is accompanied by occasional bloating and heartburn. He reports that he frequently feels full even after eating only a little at each meal, and occasionally he will vomit if he eats too much. The vomit is non-bloody and contains bits of undigested food. A review of systems is notable for occasional headaches, tingling in his distal extremities, and constipation. His medical history is significant for Parkinson’s disease diagnosed 3 years ago, hypertension diagnosed 8 years ago, and type II diabetes mellitus diagnosed 10 years ago. The patient reports that he was given prescriptions for both his blood pressure and diabetes medications, but he has not taken either for months because one of them was causing erectile dysfunction. He reports he regularly takes his levodopa. An endoscopy is performed, which rules out cancer. In addition to restarting medications for his hypertension and diabetes, what of the following is most appropriate treatment for the patient’s symptoms?",Erythromycin,E
"A 40-year-old woman with body mass index of 38 kg/m^2 presents to the emergency department with persistent bouts of epigastric pain for the past 2 hours with worsening nausea and vomiting. She has a history of polycystic ovarian syndrome and gastroesophageal reflux disease diagnosed by endoscopy, for which she takes omeprazole. She had a laparoscopic appendectomy 2 years ago. Her temperature is 98.3°F (36.8°C), blood pressure is 130/70 mmHg, pulse is 95/min, and respirations are 18/min. Her pulse oximeter reads 99% on room air. Abdominal tenderness is reproducible on physical exam without radiation in the upper abdomen. Her laboratory results are notable for the following:

Leukocyte count and differential:
Leukocyte count: 20,000/mm^3
Segmented neutrophils: 95%
Bands: 15%
Eosinophils: 2%
Basophils: 1%
Lymphocytes: 1%
Monocytes: 1%

Serum:
Na+: 135 mEq/L
Cl-: 100 mEq/L
K+: 4.2 mEq/L
HCO3-: 22 mEq/L
Urea nitrogen: 30 mg/dL
Glucose: 110 mg/dL
Creatinine: 1.1 mg/dL
Alkaline phosphatase: 50 U/L
Aspartate aminotransferase (AST, GOT): 25 U/L
Alanine aminotransferase (ALT, GPT): 15 U/L
Gamma-Glutamyltransferase (GGT): 1 U/L
Lipase: 250 IU/dL
Amylase: 300 IU/dL

She is admitted to the medical floor after being started on lactated ringer's solution and oxycodone as needed. Overnight, the patient complains that her pain is inadequately controlled. Her temperature is 98.3°F (36.8°C), blood pressure is 110/70 mmHg, pulse is 110/min, and respirations are 25/min. Her pulse oximeter reads 90% on room air. Her breathing is audible and labored with crackles heard on auscultation of her lungs bilaterally. After the patient is started on 10 liters of oxygen via nasal cannula, her SpO2 improves to 95%. An arterial blood gas is obtained:

pH 7.41
pCO2 30 mm Hg
pO2 125 mm Hg
HCO3 21 mEq/L
Base Excess +2

A chest radiograph is shown in Figure A. What is the best next step in management?",Elective intubation with low-volume low-PEEP ventilation,D
"A 62-year-old man comes to the office complaining of dysphagia that started 4-5 months ago. He reports that he initially he had difficulty swallowing only solid foods. More recently, he has noticed some trouble swallowing liquids. The patient also complains of fatigue, a chronic cough that worsens at night, and burning chest pain that occurs after he eats. He says that he has used over-the-counter antacids for “years” with mild relief. He denies any change in diet, but says he has “gone down a pant size or 2.” The patient has hypertension and hyperlipidemia. He takes amlodipine and atorvastatin. He smoked 1 pack of cigarettes a day for 12 years while in the military but quit 35 years ago. He drinks 1-2 beers on the weekend while he is golfing with his friends. His diet consists mostly of pasta, pizza, and steak. The patient's temperature is 98°F (36.7°C), blood pressure is 143/91 mmHg, and pulse is 80/min. His BMI is 32 kg/m^2. Physical examination reveals an obese man in no acute distress. No masses or enlarged lymph nodes are appreciated upon palpation of the neck. Cardiopulmonary examination is unremarkable. An endoscopy is performed, which identifies a lower esophageal mass. Which of the following is the most likely diagnosis?",Adenocarcinoma,A
"A 41-year-old man presents to his primary care provider with abdominal pain. He says that the pain “comes and goes” throughout the day and usually lasts 20-30 minutes per episode. He can point to the spot 1-2 inches above the umbilicus where he feels the pain. He denies any feeling of regurgitation or nighttime cough but endorses nausea. He reports that he used to eat three large meals per day but has found that eating more frequently improves his pain. He tried a couple pills of ibuprofen with food over the past couple days and thinks it helped. He has gained four pounds since his past appointment three months ago. The patient denies any diarrhea or change in his stools. He has no past medical history. He drinks 5-6 beers on the weekend and has a 20 pack-year smoking history. He denies any family history of cancer. On physical exam, he is tender to palpation above the umbilicus. Bowel sounds are present. A stool guaiac test is positive. The patient undergoes endoscopy with biopsy to diagnose his condition.

Which of the following is most likely to be found on histology?",Urease-producing organism in the small intestine,B
"A 54-year-old male presents to the emergency department after an episode of bloody vomiting. He is a chronic alcoholic with a history of cirrhosis, and this is the third time he is presenting with this complaint. His first two episodes of hematemesis required endoscopic management of bleeding esophageal varices. His hemoglobin on admission laboratory evaluation was 11.2 g/dL. The patient is stabilized, and upper endoscopy is performed with successful banding of bleeding varices. Follow-up lab-work shows hemoglobin levels of 10.9 g/dL and 11.1 g/dL on days 1 and 2 after admission. Which of the following is the best next step in the management of this patient?",Discuss with the patient the option of a transjugular intrahepatic portosystemic stent (TIPS),B
