Event ID,Paragraph ID,Article ID,Head labels,Relation label,Tail labels,Head text,Relation text,Tail text,Sentence text,Group_relation_label
30,6,1,treatment,IMPLIES,condition,removal of foreign bodies,implies treatment for,foreign body presence,removal of foreign bodies implies treatment for foreign body presence,IMPLIES
31,6,1,treatment,IMPLIES,condition,hemostasis by hemoclips placement,implies treatment for,bleeding,hemostasis by hemoclips placement implies treatment for bleeding,IMPLIES
32,6,1,treatment,IMPLIES,condition,injection of medications,implies treatment for,various conditions,injection of medications implies treatment for various conditions,IMPLIES
33,6,1,treatment,IMPLIES,condition,hemostatic sprays,implies treatment for,bleeding,hemostatic sprays implies treatment for bleeding,IMPLIES
34,6,1,treatment,IMPLIES,condition,thermal coagulation,implies treatment for,bleeding,thermal coagulation implies treatment for bleeding,IMPLIES
35,6,1,treatment,IMPLIES,condition,laser photocoagulation,implies treatment for,bleeding,laser photocoagulation implies treatment for bleeding,IMPLIES
36,6,1,treatment,IMPLIES,condition,variceal banding,implies treatment for,esophageal varices,variceal banding implies treatment for esophageal varices,IMPLIES
37,6,1,treatment,IMPLIES,condition,sclerotherapy,implies treatment for,varicose veins,sclerotherapy implies treatment for varicose veins,IMPLIES
38,6,1,treatment,IMPLIES,condition,debulking of tumors by laser or bipolar electrocoagulation,implies treatment for,tumors,debulking of tumors by laser or bipolar electrocoagulation implies treatment for tumors,IMPLIES
39,6,1,treatment,IMPLIES,condition,ablative therapy of premalignant lesions,implies treatment for,premalignant lesions,ablative therapy of premalignant lesions implies treatment for premalignant lesions,IMPLIES
40,6,1,treatment,IMPLIES,condition,removal of polyps,implies treatment for,polyps,removal of polyps implies treatment for polyps,IMPLIES
41,6,1,treatment,IMPLIES,condition,mucosal and/or submucosal tissue resection,implies treatment for,tissue abnormalities,mucosal and/or submucosal tissue resection implies treatment for tissue abnormalities,IMPLIES
42,6,1,treatment,IMPLIES,condition,dilation of webs or strictures,implies treatment for,webs or strictures,dilation of webs or strictures implies treatment for webs or strictures,IMPLIES
43,6,1,treatment,IMPLIES,condition,stent placement,implies treatment for,obstructions,stent placement implies treatment for obstructions,IMPLIES
44,6,1,treatment,IMPLIES,condition,reduction of volvulus or intussusception,implies treatment for,volvulus or intussusception,reduction of volvulus or intussusception implies treatment for volvulus or intussusception,IMPLIES
45,6,1,treatment,IMPLIES,condition,decompression of acute or subacute colonic dilation,implies treatment for,colonic dilation,decompression of acute or subacute colonic dilation implies treatment for colonic dilation,IMPLIES
46,6,1,treatment,IMPLIES,condition,feeding tube placement,implies treatment for,feeding difficulties,feeding tube placement implies treatment for feeding difficulties,IMPLIES
47,6,1,treatment,IMPLIES,condition,drainage of pancreatic cysts,implies treatment for,pancreatic cysts,drainage of pancreatic cysts implies treatment for pancreatic cysts,IMPLIES
48,6,1,treatment,IMPLIES,condition,endoscopic bariatric procedures,implies treatment for,obesity,endoscopic bariatric procedures implies treatment for obesity,IMPLIES
49,6,1,treatment,IMPLIES,condition,endoscopic myotomy,implies treatment for,achalasia,endoscopic myotomy implies treatment for achalasia,IMPLIES
50,6,1,treatment,IMPLIES,condition,transoral incision-less fundoplication,implies treatment for,gastroesophageal reflux disease (GERD),transoral incision-less fundoplication implies treatment for gastroesophageal reflux disease (GERD),IMPLIES
51,7,1,condition,CONTRAINDICATES,treatment,shock,is an absolute contraindication to,endoscopy,shock is an absolute contraindication to endoscopy,NEGATES
52,7,1,condition,CONTRAINDICATES,treatment,acute myocardial infarction,is an absolute contraindication to,endoscopy,acute myocardial infarction is an absolute contraindication to endoscopy,NEGATES
53,7,1,condition,CONTRAINDICATES,treatment,peritonitis,is an absolute contraindication to,endoscopy,peritonitis is an absolute contraindication to endoscopy,NEGATES
54,7,1,condition,CONTRAINDICATES,treatment,acute perforation,is an absolute contraindication to,endoscopy,acute perforation is an absolute contraindication to endoscopy,NEGATES
55,7,1,condition,CONTRAINDICATES,treatment,fulminant colitis,is an absolute contraindication to,endoscopy,fulminant colitis is an absolute contraindication to endoscopy,NEGATES
56,7,1,condition,CONTRAINDICATES,treatment,poor patient cooperation,is a relative contraindication to,endoscopy,poor patient cooperation is a relative contraindication to endoscopy,NEGATES
57,7,1,condition,CONTRAINDICATES,treatment,coma (unless the patient is intubated),is a relative contraindication to,endoscopy,coma (unless the patient is intubated) is a relative contraindication to endoscopy,NEGATES
58,7,1,condition,CONTRAINDICATES,treatment,cardiac arrhythmias or recent myocardial ischemia,is a relative contraindication to,endoscopy,cardiac arrhythmias or recent myocardial ischemia is a relative contraindication to endoscopy,NEGATES
59,7,1,treatment,SAFE_WITH,treatment,diagnostic endoscopy,can be safely performed with,anticoagulants or chronic nonsteroidal anti-inflammatory drug therapy,diagnostic endoscopy can be safely performed with anticoagulants or chronic nonsteroidal anti-inflammatory drug therapy,NEGATES
60,7,1,treatment,REQUIRES_STOP,treatment,biopsy or photocoagulation,requires stopping,anticoagulants,biopsy or photocoagulation requires stopping anticoagulants,THRESHOLD
61,7,1,treatment,REQUIRES_STOP,treatment,colonoscopy,requires stopping,oral iron-containing medications,colonoscopy requires stopping oral iron-containing medications,THRESHOLD
62,7,1,substance,INTERACTS_WITH,food,iron,interacts with,certain green vegetables,iron interacts with certain green vegetables,INTERACTS_WITH
63,7,1,interaction,CAUSES,condition,interaction of iron with certain green vegetables,causes,sticky residue that is difficult to remove with a bowel preparation and interferes with visualization,interaction of iron with certain green vegetables causes sticky residue that is difficult to remove with a bowel preparation and interferes with visualization,CAUSES
64,8,1,"treatment, procedure",REQUIRES,"preparation, diet",endoscopy,requires,no solids for 8 hours and no liquids for 2 to 4 hours before the procedure,endoscopy requires no solids for 8 hours and no liquids for 2 to 4 hours before the procedure,THRESHOLD
65,8,1,"treatment, procedure",REQUIRES,"preparation, diet, treatment",colonoscopy,requires,cleansing of the colon,colonoscopy requires cleansing of the colon,THRESHOLD
66,8,1,"preparation, diet",INCLUDES,diet,cleansing of the colon,includes,a full or clear liquid diet for 24 to 48 hours,cleansing of the colon includes a full or clear liquid diet for 24 to 48 hours,IMPLIES
67,8,1,"preparation, diet",INCLUDES,treatment,cleansing of the colon,includes,"some type of laxative, with or without an enema","cleansing of the colon includes some type of laxative, with or without an enema",IMPLIES
68,8,1,treatment,USES,preparation,Bowel cleansing preparations,using,a high volume of an electrolyte-containing liquid,Bowel cleansing preparations using a high volume of an electrolyte-containing liquid,USES
69,8,1,preparation,VARIES,efficacy,The preparations,have varying degrees of,efficacy,The preparations have varying degrees of efficacy,IMPLIES
70,8,1,preparation,IMPROVES,"compliance, examination quality, detection rate",Giving preparations in a split-dose fashion,has been shown to improve,"patient compliance, examination quality, and adenoma detection rate","Giving preparations in a split-dose fashion has been shown to improve patient compliance, examination quality, and adenoma detection rate",CAUSES
71,9,1,"treatment, procedure",IMPLIES,"diagnostic tool, imaging technique",video capsule endoscopy,provides,diagnostic imaging of the small bowel,video capsule endoscopy provides diagnostic imaging of the small bowel,IMPLIES
72,9,1,"condition, symptom",CAUSES,need for diagnostic imaging,occult gastrointestinal bleeding,necessitates,diagnostic imaging,occult gastrointestinal bleeding necessitates diagnostic imaging,CAUSES
73,9,1,"treatment, procedure",AND,"condition, symptom",video capsule endoscopy,is useful for,detection of mucosal abnormalities,video capsule endoscopy is useful for detection of mucosal abnormalities,AND
74,9,1,"treatment, procedure",NEGATES,"common use, screening method",capsule endoscopy,is not commonly used as,a modality for colorectal cancer screening,capsule endoscopy is not commonly used as a modality for colorectal cancer screening,NEGATES
75,10,2,condition,IMPLIES,symptom,Colonic diverticulosis,is the presence of,one or more diverticula in the colon,Colonic diverticulosis is the presence of one or more diverticula in the colon,IMPLIES
76,10,2,condition,OR,symptom,Most diverticula,"are asymptomatic, but some",become inflamed or bleed,"Most diverticula are asymptomatic, but some become inflamed or bleed",OR
77,10,2,condition,DIAGNOSED BY,treatment,Colonic diverticulosis,Diagnosis is by,"colonoscopy, capsule endoscopy, barium enema, CT, or MRI","Colonic diverticulosis Diagnosis is by colonoscopy, capsule endoscopy, barium enema, CT, or MRI",RECOMMENDATION
78,10,2,condition,NEGATES,treatment,Asymptomatic diverticulosis,requires,no treatment,Asymptomatic diverticulosis requires no treatment,NEGATES
79,10,2,"condition, symptom",CAUSES,treatment,When symptoms develop,treatment varies depending on,clinical manifestations,When symptoms develop treatment varies depending on clinical manifestations,CAUSES
80,11,2,condition,CAUSES,anatomical feature,colonic diverticulum,is a saclike pouch of,colonic mucosa and submucosa that protrudes through the muscular layer of the colon,colonic diverticulum is a saclike pouch of colonic mucosa and submucosa that protrudes through the muscular layer of the colon,CAUSES
81,12,2,"condition, anatomical location",IMPLIES,"condition, anatomical location",diverticula in the large bowel,usually occur in,sigmoid portion of the colon,diverticula in the large bowel usually occur in sigmoid portion of the colon,IMPLIES
82,12,2,"condition, anatomical location",NEGATES,"condition, anatomical location",diverticula,rarely occur below,peritoneal reflection and involve the rectum,diverticula rarely occur below peritoneal reflection and involve the rectum,NEGATES
83,12,2,condition,THRESHOLD,condition,diverticula,are defined as giant diverticula if,diverticula > 4 cm in diameter,diverticula are defined as giant diverticula if diverticula > 4 cm in diameter,THRESHOLD
84,12,2,condition,IMPLIES,condition,colonic diverticulosis,usually have,several diverticula,colonic diverticulosis usually have several diverticula,IMPLIES
85,13,2,"condition, risk factor",IMPLIES,condition,increasing age,becomes more common with,diverticulosis,increasing age becomes more common with diverticulosis,IMPLIES
86,14,2,condition,CAUSES,condition,colonic diverticulosis,etiology of,multifactorial and not entirely known,colonic diverticulosis etiology of multifactorial and not entirely known,CAUSES
87,14,2,condition,IMPLIES,condition,symptomatic diverticular disease,correlation with,environmental factors,symptomatic diverticular disease correlation with environmental factors,IMPLIES
88,14,2,risk factor,CAUSES,condition,diet low in fiber,associated with,symptomatic diverticular disease,diet low in fiber associated with symptomatic diverticular disease,CAUSES
89,14,2,risk factor,CAUSES,condition,diet high in red meat,associated with,symptomatic diverticular disease,diet high in red meat associated with symptomatic diverticular disease,CAUSES
90,14,2,risk factor,CAUSES,condition,sedentary lifestyle,associated with,symptomatic diverticular disease,sedentary lifestyle associated with symptomatic diverticular disease,CAUSES
91,14,2,risk factor,CAUSES,condition,obesity,associated with,symptomatic diverticular disease,obesity associated with symptomatic diverticular disease,CAUSES
92,14,2,risk factor,CAUSES,condition,smoking,associated with,symptomatic diverticular disease,smoking associated with symptomatic diverticular disease,CAUSES
93,14,2,"risk factor, treatment",CAUSES,condition,use of NSAIDs,associated with,symptomatic diverticular disease,use of NSAIDs associated with symptomatic diverticular disease,CAUSES
94,14,2,"risk factor, treatment",CAUSES,condition,use of aspirin,associated with,symptomatic diverticular disease,use of aspirin associated with symptomatic diverticular disease,CAUSES
95,14,2,"risk factor, treatment",CAUSES,condition,use of acetaminophen,associated with,symptomatic diverticular disease,use of acetaminophen associated with symptomatic diverticular disease,CAUSES
96,14,2,"risk factor, treatment",CAUSES,condition,use of corticosteroids,associated with,symptomatic diverticular disease,use of corticosteroids associated with symptomatic diverticular disease,CAUSES
97,14,2,"risk factor, treatment",CAUSES,condition,use of opioids,associated with,symptomatic diverticular disease,use of opioids associated with symptomatic diverticular disease,CAUSES
98,14,2,risk factor,CAUSES,condition,heritable factors,possible risk factor for,symptomatic diverticular disease,heritable factors possible risk factor for symptomatic diverticular disease,CAUSES
99,14,2,risk factor,CAUSES,condition,alterations in colonic wall structure and motility,possible risk factor for,symptomatic diverticular disease,alterations in colonic wall structure and motility possible risk factor for symptomatic diverticular disease,CAUSES
100,15,2,"condition, anatomical feature",CAUSES,condition,increase in intraluminal pressure,causes,diverticula,increase in intraluminal pressure causes diverticula,CAUSES
101,15,2,condition,IMPLIES,anatomical feature,diverticula,leads to,mucosal extrusion through the weakest points of the muscular layer of the bowel,diverticula leads to mucosal extrusion through the weakest points of the muscular layer of the bowel,IMPLIES
102,15,2,anatomical feature,AND,anatomical feature,weakest points of the muscular layer of the bowel,areas adjacent to,intramural blood vessels,weakest points of the muscular layer of the bowel areas adjacent to intramural blood vessels,AND
103,16,2,"condition, risk factor",IMPLIES,symptom,diverticulosis,are asymptomatic or have only intermittent constipation,asymptomatic or intermittent constipation,diverticulosis are asymptomatic or have only intermittent constipation asymptomatic or intermittent constipation,IMPLIES
104,16,2,condition,CAUSES,symptom,diverticulosis,become symptomatic with,pain or bleeding,diverticulosis become symptomatic with pain or bleeding,CAUSES
105,16,2,condition,CAUSES,condition,diverticulosis,when,inflammatory or hemorrhagic complications develop,diverticulosis when inflammatory or hemorrhagic complications develop,CAUSES
106,17,2,condition,CAUSES,symptom,diverticulosis,sometimes develop,"nonspecific gastrointestinal (GI) symptoms, including abdominal pain, bloating, constipation, diarrhea, and passage of mucus from the rectum","diverticulosis sometimes develop nonspecific gastrointestinal (GI) symptoms, including abdominal pain, bloating, constipation, diarrhea, and passage of mucus from the rectum",CAUSES
107,17,2,condition,IMPLIES,condition,diverticulosis with nonspecific GI symptoms,is sometimes referred to as,symptomatic uncomplicated diverticular disease (SUDD),diverticulosis with nonspecific GI symptoms is sometimes referred to as symptomatic uncomplicated diverticular disease (SUDD),IMPLIES
108,17,2,symptom,OR,condition,nonspecific GI symptoms,are due to,"another disorder (eg, irritable bowel syndrome)","nonspecific GI symptoms are due to another disorder (eg, irritable bowel syndrome)",OR
109,17,2,condition,NEGATES,condition,presence of diverticula,is coincidental rather than causal,nonspecific GI symptoms,presence of diverticula is coincidental rather than causal nonspecific GI symptoms,NEGATES
110,18,2,"condition, risk factor",CAUSES,condition,Colonic diverticular disease,complications of,"diverticulitis, diverticular bleeding, and segmental colitis associated with diverticular disease (SCAD)","Colonic diverticular disease complications of diverticulitis, diverticular bleeding, and segmental colitis associated with diverticular disease (SCAD)",CAUSES
111,18,2,risk factor,IMPLIES,condition,Smoking,more common among people who,complications of colonic diverticular disease,Smoking more common among people who complications of colonic diverticular disease,IMPLIES
112,18,2,risk factor,IMPLIES,condition,Obesity,more common among people who,complications of colonic diverticular disease,Obesity more common among people who complications of colonic diverticular disease,IMPLIES
113,18,2,"risk factor, condition",IMPLIES,condition,HIV infection,more common among people who,complications of colonic diverticular disease,HIV infection more common among people who complications of colonic diverticular disease,IMPLIES
114,18,2,"risk factor, treatment",IMPLIES,condition,NSAIDs use,more common among people who,complications of colonic diverticular disease,NSAIDs use more common among people who complications of colonic diverticular disease,IMPLIES
115,18,2,treatment,IMPLIES,condition,Cancer chemotherapy,more common among people who are undergoing,complications of colonic diverticular disease,Cancer chemotherapy more common among people who are undergoing complications of colonic diverticular disease,IMPLIES
116,19,2,condition,CAUSES,symptom,Diverticulitis,is,painful inflammation of a diverticulum,Diverticulitis is painful inflammation of a diverticulum,CAUSES
117,20,2,condition,CAUSES,symptom,Diverticulosis,occurs in,Diverticular bleeding,Diverticulosis occurs in Diverticular bleeding,CAUSES
118,20,2,condition,IMPLIES,condition,Diverticulosis,associated with,Segmental colitis associated with diverticular disease (SCAD),Diverticulosis associated with Segmental colitis associated with diverticular disease (SCAD),IMPLIES
119,20,2,condition,CAUSES,symptom,Segmental colitis associated with diverticular disease (SCAD),refers to manifestations of,"colitis (eg, hematochezia, abdominal pain, diarrhea)","Segmental colitis associated with diverticular disease (SCAD) refers to manifestations of colitis (eg, hematochezia, abdominal pain, diarrhea)",CAUSES
120,20,2,condition,THRESHOLD,condition,Diverticulosis,develop in a few (1%) patients with,Segmental colitis associated with diverticular disease (SCAD),Diverticulosis develop in a few (1%) patients with Segmental colitis associated with diverticular disease (SCAD),THRESHOLD
121,21,2,"condition, anatomical structure",CAUSES,symptom,local trauma from impacted feces in a diverticulum,can erode,adjacent vessel,local trauma from impacted feces in a diverticulum can erode adjacent vessel,CAUSES
122,21,2,"condition, anatomical structure",CAUSES,symptom,enlargement of the diverticulum,can stretch (and ultimately tear),the vessel,enlargement of the diverticulum can stretch (and ultimately tear) the vessel,CAUSES
123,21,2,"treatment, risk factor",INCREASES,"risk factor, symptom",NSAIDs,increase the risk of,hemorrhage,NSAIDs increase the risk of hemorrhage,CAUSES
124,22,2,"condition, symptom",CAUSES,symptom,Diverticular bleeding,manifests as,painless hematochezia,Diverticular bleeding manifests as painless hematochezia,CAUSES
125,22,2,"condition, symptom",CAUSES,symptom,Diverticular bleeding,manifests as,fresh blood or maroon-colored stool,Diverticular bleeding manifests as fresh blood or maroon-colored stool,CAUSES
126,22,2,"condition, symptom",CAUSES,symptom,Right-sided diverticular bleeding,can manifest as,melena,Right-sided diverticular bleeding can manifest as melena,CAUSES
127,22,2,condition,NEGATES,condition,Diverticular bleeding,usually occurs without,concomitant diverticulitis,Diverticular bleeding usually occurs without concomitant diverticulitis,NEGATES
128,22,2,anatomical feature,CAUSES,severity,Bleeding vessel is an arteriole,the amount of blood loss is usually,moderate to severe,Bleeding vessel is an arteriole the amount of blood loss is usually moderate to severe,CAUSES
129,23,2,"condition, symptom",IMPLIES,outcome,episodes of bleeding,cease spontaneously,majority (75%) of episodes,episodes of bleeding cease spontaneously majority (75%) of episodes,IMPLIES
130,23,2,"condition, symptom",CAUSES,treatment,remainder of bleeding episodes,require,"intervention, typically endoscopic","remainder of bleeding episodes require intervention, typically endoscopic",CAUSES
131,23,2,condition,CAUSES,risk factor,diverticular bleeding episode,increased risk of,rebleeding,diverticular bleeding episode increased risk of rebleeding,CAUSES
132,23,2,condition,CAUSES,risk factor,second episode of diverticular bleeding,risk of,rebleeding is 50%,second episode of diverticular bleeding risk of rebleeding is 50%,CAUSES
133,24,2,"condition, symptom",CAUSES,condition,diverticulosis,due to,Lower GI bleeding,diverticulosis due to Lower GI bleeding,CAUSES
134,25,2,"condition, symptom",IMPLIES,"treatment, procedure",lower GI bleeding,typically includes,colonoscopy,lower GI bleeding typically includes colonoscopy,IMPLIES
135,25,2,"treatment, procedure",REQUIRES,treatment,colonoscopy,requires,rapid colonic preparation,colonoscopy requires rapid colonic preparation,THRESHOLD
136,25,2,treatment,INCLUDES,treatment,rapid colonic preparation,includes,4 to 6 L of polyethylene glycol solution,rapid colonic preparation includes 4 to 6 L of polyethylene glycol solution,IMPLIES
137,25,2,treatment,DELIVERED_VIA,method,polyethylene glycol solution,"delivered orally, ideally via",nasogastric tube,"polyethylene glycol solution delivered orally, ideally via nasogastric tube",DELIVERED_VIA
138,25,2,"condition, symptom",AND,condition,ongoing bleeding,is sufficiently rapid,> 0.5 to 1 mL/minute,ongoing bleeding is sufficiently rapid > 0.5 to 1 mL/minute,AND
139,25,2,"condition, symptom",OR,"treatment, procedure",source cannot be seen with colonoscopy,may localize the source,CT angiography or radionuclide imaging,source cannot be seen with colonoscopy may localize the source CT angiography or radionuclide imaging,OR
140,26,2,condition,NEGATES,"treatment, dietary change",Asymptomatic diverticulosis,requires no,treatment or dietary changes,Asymptomatic diverticulosis requires no treatment or dietary changes,NEGATES
141,26,2,"risk factor, food",NEGATES,condition,"consumption of nuts, seeds, corn, or popcorn",no association with,"diverticulitis, diverticular hemorrhage, or uncomplicated diverticulosis","consumption of nuts, seeds, corn, or popcorn no association with diverticulitis, diverticular hemorrhage, or uncomplicated diverticulosis",NEGATES
142,26,2,"risk factor, medication",CAUSES,condition,NSAIDs and opioid analgesics,may increase the risk of,diverticular perforation and bleeding,NSAIDs and opioid analgesics may increase the risk of diverticular perforation and bleeding,CAUSES
143,27,2,"condition, symptom",CAUSES,treatment,diverticulosis with nonspecific GI symptoms,treatment is aimed at,reducing spasm of a segment of colon,diverticulosis with nonspecific GI symptoms treatment is aimed at reducing spasm of a segment of colon,CAUSES
144,27,2,treatment,IMPLIES,treatment,high-fiber diet,may be supplemented by,psyllium seed preparations or bran together with adequate fluid intake,high-fiber diet may be supplemented by psyllium seed preparations or bran together with adequate fluid intake,IMPLIES
145,27,2,treatment,NEGATES,treatment,role of fiber,is limited in,treatment of diverticulosis,role of fiber is limited in treatment of diverticulosis,NEGATES
146,27,2,treatment,IMPLIES,condition,bulk-forming laxatives,should be considered for,people with constipation,bulk-forming laxatives should be considered for people with constipation,IMPLIES
147,28,2,"condition, symptom",IMPLIES,treatment,Diverticular bleeding,Initial management is as for,lower GI bleeding,Diverticular bleeding Initial management is as for lower GI bleeding,IMPLIES
148,28,2,condition,CAUSES,symptom,Diverticular bleeding,stops spontaneously in,75% of patients,Diverticular bleeding stops spontaneously in 75% of patients,CAUSES
149,28,2,condition,AND,treatment,Diverticular bleeding,Treatment is often given during,the diagnostic procedure,Diverticular bleeding Treatment is often given during the diagnostic procedure,AND
150,28,2,condition,THRESHOLD,symptom,Diverticular bleeding,stigmata of recent hemorrhage are identified in,8 to 15% of patients during colonoscopy,Diverticular bleeding stigmata of recent hemorrhage are identified in 8 to 15% of patients during colonoscopy,THRESHOLD
151,29,2,"treatment, procedure",CAUSES,"outcome, condition","endoscopic treatment (epinephrine injection, application of endoclips or fibrin sealant, heater probe or bipolar coagulation, and band ligation)",results in lower,early and late recurring bleeding rates in patients with definitive colonic diverticular bleeding,"endoscopic treatment (epinephrine injection, application of endoclips or fibrin sealant, heater probe or bipolar coagulation, and band ligation) results in lower early and late recurring bleeding rates in patients with definitive colonic diverticular bleeding",CAUSES
152,30,2,"treatment, diagnostic procedure",IMPLIES,condition,Angiography,can help with diagnosis of,the source of bleeding,Angiography can help with diagnosis of the source of bleeding,IMPLIES
153,30,2,"treatment, diagnostic procedure",IMPLIES,treatment,Angiography,and treatment of,ongoing bleeding,Angiography and treatment of ongoing bleeding,IMPLIES
154,30,2,treatment,CAUSES,treatment,Embolization,is used to control,bleeding,Embolization is used to control bleeding,CAUSES
155,30,2,treatment,OR,treatment,Embolization,or,vasopressin injection,Embolization or vasopressin injection,OR
156,30,2,treatment,THRESHOLD,success rate,Embolization,is successful about,80% of the time,Embolization is successful about 80% of the time,THRESHOLD
157,30,2,"treatment, diagnostic procedure",CAUSES,complication,Angiographic,complications of,bowel ischemia or infarction,Angiographic complications of bowel ischemia or infarction,CAUSES
